NOK_per_kWh,time_start,consumption,consumption_cost,consumption_with_battery,consumption_cost_with_battery
1.68112,2022-01-04T08:00:00+01:00,2.37689136,3.9958396031232,0.0,0.0
1.6688,2022-01-04T09:00:00+01:00,4.951856952,8.2636588814976,0.0,0.0
1.67521,2022-01-04T10:00:00+01:00,4.159559808,6.96813618595968,0.698060952,1.16939868739992
1.64847,2022-01-04T11:00:00+01:00,2.674002744,4.40801330340168,4.48753464,7.3975662280008
1.60201,2022-01-04T12:00:00+01:00,1.7826685199999999,2.8558527957251996,4.48753464,7.1890753686263995
1.55905,2022-01-04T13:00:00+01:00,2.277854208,3.5512886029824,4.48753464,6.996290880492
1.55374,2022-01-04T14:00:00+01:00,2.277854208,3.53919319713792,4.48753464,6.9724620715536
1.58669,2022-01-04T15:00:00+01:00,2.47592844,3.9285308964636,4.48753464,7.1203263379415995
1.61573,2022-01-04T16:00:00+01:00,1.4855570640000002,2.4002591150167203,2.991689784,4.83376293470232
1.67992,2022-01-04T17:00:00+01:00,2.7730398960000002,4.65848518208832,2.991689784,5.02579950193728
1.64687,2022-01-04T18:00:00+01:00,4.951856952,8.15506465854024,1.994459832,3.28461606352584
1.54092,2022-01-04T19:00:00+01:00,2.37689136,3.6625994344512005,0.9972299520000001,1.5366515776358403
1.4701300000000002,2022-01-04T20:00:00+01:00,2.47592844,3.6399366774972006,0.9972299520000001,1.4660576693337604
1.41765,2022-01-04T21:00:00+01:00,2.674002744,3.7907999900316,3.988919664,5.6548919616696
1.37409,2022-01-04T22:00:00+01:00,2.47592844,3.4021485101196003,3.988919664,5.48113462110576
1.14408,2022-01-04T23:00:00+01:00,2.9711142,3.399192333936,4.48753464,5.1340986309312
1.3270300000000002,2022-01-05T00:00:00+01:00,4.951856952,6.571262731012561,4.48753464,5.9550930933192
1.2297500000000001,2022-01-05T01:00:00+01:00,3.961485576,4.871636887086,4.48753464,5.51854572354
1.11284,2022-01-05T02:00:00+01:00,4.060522728,4.51871211262752,4.48753464,4.9939080487776
1.03031,2022-01-05T03:00:00+01:00,4.159559808,4.28563606578048,4.48753464,4.6235518149384
1.05513,2022-01-05T04:00:00+01:00,4.25859696,4.4933734104048,4.48753464,4.734932424703199
1.21281,2022-01-05T05:00:00+01:00,1.980742752,2.40226461705312,4.48753464,5.442526886738399
1.37876,2022-01-05T06:00:00+01:00,1.683631368,2.3213235849436797,0.0,0.0
1.3829500000000001,2022-01-05T07:00:00+01:00,1.7826685199999999,2.465341429734,0.0,0.0
1.38335,2022-01-05T08:00:00+01:00,2.37689136,3.2880726628560004,0.0,0.0
1.38694,2022-01-05T09:00:00+01:00,4.951856952,6.867928481006881,0.0,0.0
1.38624,2022-01-05T10:00:00+01:00,4.159559808,5.76614818824192,0.698060952,0.9676800141004799
1.3761700000000001,2022-01-05T11:00:00+01:00,2.674002744,3.6798823562104803,4.48753464,6.175610545528801
1.36481,2022-01-05T12:00:00+01:00,1.7826685199999999,2.4330038227812,4.48753464,6.1246321520184
1.36421,2022-01-05T13:00:00+01:00,2.277854208,3.10747148909568,4.48753464,6.121939631234399
1.36162,2022-01-05T14:00:00+01:00,2.277854208,3.10157184669696,4.48753464,6.1103169165168
1.366,2022-01-05T15:00:00+01:00,2.47592844,3.3821182490400004,4.48753464,6.12997231824
1.41205,2022-01-05T16:00:00+01:00,1.4855570640000002,2.0976808522212003,2.991689784,4.2244155594972
1.47604,2022-01-05T17:00:00+01:00,2.7730398960000002,4.09311780809184,2.991689784,4.41585378877536
1.43288,2022-01-05T18:00:00+01:00,4.951856952,7.095416789381759,1.994459832,2.8578216040761597
1.3963100000000002,2022-01-05T19:00:00+01:00,2.37689136,3.3188771748816004,0.9972299520000001,1.3924421542771204
1.37199,2022-01-05T20:00:00+01:00,2.47592844,3.3969490603956003,0.9972299520000001,1.3681895218444802
1.38544,2022-01-05T21:00:00+01:00,2.674002744,3.70467036164736,3.988919664,5.52640885929216
1.36471,2022-01-05T22:00:00+01:00,2.47592844,3.3789243013524004,3.988919664,5.4437185546574405
1.3507500000000001,2022-01-05T23:00:00+01:00,2.9711142,4.0132325056500004,4.48753464,6.06153741498
1.2625,2022-01-06T00:00:00+01:00,4.951856952,6.2517194019,4.48753464,5.665512483
1.25377,2022-01-06T01:00:00+01:00,3.961485576,4.96679177062152,4.48753464,5.6263363055928
1.25448,2022-01-06T02:00:00+01:00,4.060522728,5.09384455182144,4.48753464,5.6295224551872
1.30385,2022-01-06T03:00:00+01:00,4.159559808,5.4234420556608,4.48753464,5.8510720403639995
1.4051,2022-01-06T04:00:00+01:00,4.25859696,5.983754588496001,4.48753464,6.305434922663999
1.47404,2022-01-06T05:00:00+01:00,1.980742752,2.9196940461580803,4.48753464,6.6148055607456
1.5242200000000001,2022-01-06T06:00:00+01:00,1.683631368,2.56622460373296,0.0,0.0
1.5415800000000002,2022-01-06T07:00:00+01:00,1.7826685199999999,2.7481261370616,0.0,0.0
1.8327900000000001,2022-01-06T08:00:00+01:00,2.37689136,4.3563427156944,0.0,0.0
2.06591,2022-01-06T09:00:00+01:00,4.951856952,10.230090795706321,0.0,0.0
2.09982,2022-01-06T10:00:00+01:00,4.159559808,8.73432687603456,0.698060952,1.4658023482286398
2.25496,2022-01-06T11:00:00+01:00,2.674002744,6.02976922761024,4.48753464,10.1192111118144
2.19756,2022-01-06T12:00:00+01:00,1.7826685199999999,3.9175210328112002,4.48753464,9.8616266234784
2.03419,2022-01-06T13:00:00+01:00,2.277854208,4.6335882513715205,4.48753464,9.1284980893416
2.10093,2022-01-06T14:00:00+01:00,2.277854208,4.78561224121344,4.48753464,9.427996151215199
2.24864,2022-01-06T15:00:00+01:00,2.47592844,5.567471727321601,4.48753464,10.090849892889599
2.39656,2022-01-06T16:00:00+01:00,1.4855570640000002,3.5602266372998406,2.991689784,7.16976406874304
2.67092,2022-01-06T17:00:00+01:00,2.7730398960000002,7.406567719024321,2.991689784,7.990564077881281
2.6588700000000003,2022-01-06T18:00:00+01:00,4.951856952,13.16634389396424,1.994459832,5.303009413509841
